source_page,discovered_url,normalized_url,final_url,internal_or_external,resource_type,status_code,result,response_time_ms,content_type,depth,page_title,error_message,timestamp
https://europlan.be/en,/en/blog/en/cybersecurity-and-your-network-plotter-why-your-printer-could-be-the-weakest-link-in-your-it-security/,https://europlan.be/en/blog/en/cybersecurity-and-your-network-plotter-why-your-printer-could-be-the-weakest-link-in-your-it-security,https://europlan.be/en/blog/en/cybersecurity-and-your-network-plotter-why-your-printer-could-be-the-weakest-link-in-your-it-security,internal,anchor,404,BROKEN_4XX,41.2,text/html; charset=utf-8,3,,,2026-04-17T17:25:01.454819+00:00
https://europlan.be/en,/en/blog/en/folding-machine-roi-calculator-calculate-your-payback-period-from-manual-to-automatic/,https://europlan.be/en/blog/en/folding-machine-roi-calculator-calculate-your-payback-period-from-manual-to-automatic,https://europlan.be/en/blog/en/folding-machine-roi-calculator-calculate-your-payback-period-from-manual-to-automatic,internal,anchor,404,BROKEN_4XX,42.5,text/html; charset=utf-8,3,,,2026-04-17T17:25:01.497430+00:00
https://europlan.be/en,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,524.9,text/html; charset=utf-8,3,,,2026-04-17T17:25:04.387277+00:00
https://europlan.be/en,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,618.2,text/html; charset=UTF-8,3,,,2026-04-17T17:25:05.005589+00:00
https://europlan.be/en,/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,internal,script,404,BROKEN_4XX,38.4,text/html; charset=UTF-8,3,,,2026-04-17T17:25:06.413006+00:00
https://europlan.be/nl/hardware,/cdn-cgi/l/email-protection#b8d1d6ded7f8ddcdcad7c8d4d9d696dadd,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,25.1,text/html,3,,,2026-04-17T17:25:10.105404+00:00
https://europlan.be/nl/hardware,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,34.8,text/html; charset=utf-8,3,,,2026-04-17T17:25:12.427391+00:00
https://europlan.be/nl/hardware,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,522.7,text/html; charset=UTF-8,3,,,2026-04-17T17:25:12.950155+00:00
https://europlan.be/nl/hardware,/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,internal,script,404,BROKEN_4XX,30.9,text/html; charset=UTF-8,3,,,2026-04-17T17:25:14.241173+00:00
https://europlan.be/nl/hardware/cad-plotters,/cdn-cgi/l/email-protection#fa93949c95ba9f8f88958a969b94d4989f,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,26.1,text/html,3,,,2026-04-17T17:25:18.090388+00:00
