source_page,discovered_url,normalized_url,final_url,internal_or_external,resource_type,status_code,result,response_time_ms,content_type,depth,page_title,error_message,timestamp
https://europlan.be/nl/hardware/cad-plotters,/cdn-cgi/l/email-protection#670e0901082702121508170b0609490502,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,67.2,text/html,3,,,2026-04-18T13:27:09.324953+00:00
https://europlan.be/nl/hardware/cad-plotters,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,42.5,text/html; charset=utf-8,3,,,2026-04-18T13:27:12.017072+00:00
https://europlan.be/nl/hardware/cad-plotters,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,66.6,text/html; charset=UTF-8,3,,,2026-04-18T13:27:12.083875+00:00
https://europlan.be/nl/hardware/cad-plotters,/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,internal,script,404,BROKEN_4XX,42.0,text/html; charset=UTF-8,3,,,2026-04-18T13:27:12.579898+00:00
https://europlan.be/nl/hardware/pagewide-xl-repro,/cdn-cgi/l/email-protection#87eee9e1e8c7e2f2f5e8f7ebe6e9a9e5e2,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,68.0,text/html,3,,,2026-04-18T13:27:21.339513+00:00
https://europlan.be/nl/hardware/pagewide-xl-repro,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,661.2,text/html; charset=utf-8,3,,,2026-04-18T13:27:44.902538+00:00
https://europlan.be/nl/hardware/pagewide-xl-repro,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,263.1,text/html; charset=UTF-8,3,,,2026-04-18T13:27:45.165762+00:00
https://europlan.be/nl/hardware/pagewide-xl-repro,/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,internal,script,404,BROKEN_4XX,432.8,text/html; charset=UTF-8,3,,,2026-04-18T13:27:51.324395+00:00
https://europlan.be/nl/hardware/rowe-colorpress,/cdn-cgi/l/email-protection#b9d0d7dfd6f9dccccbd6c9d5d8d797dbdc,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,55.9,text/html,3,,,2026-04-18T13:27:56.029083+00:00
https://europlan.be/nl/hardware/rowe-colorpress,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,40.3,text/html; charset=utf-8,3,,,2026-04-18T13:27:56.834813+00:00
https://europlan.be/nl/hardware/rowe-colorpress,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,56.3,text/html; charset=UTF-8,3,,,2026-04-18T13:27:56.891281+00:00
https://europlan.be/nl/hardware/rowe-colorpress,/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,internal,script,404,BROKEN_4XX,49.8,text/html; charset=UTF-8,3,,,2026-04-18T13:27:57.315387+00:00
